Price,Close,High,Low,Open,Volume,EMA_20,EMA_30
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,,
Date,,,,,,,
2024-09-20,163.7003631591797,163.80973597215976,162.24868902069008,163.58105288018464,46362700,159.50581698185786,161.10689799412486
2024-09-23,162.1393280029297,165.65911770531974,162.02000255471572,164.39636164933788,15648400,159.75662755529328,161.1735063817897
2024-09-24,162.7060546875,163.61086467384348,161.105242854624,163.31257383341458,18774100,160.0375253774082,161.2723804660291
2024-09-25,162.0597686767578,163.27975559447742,161.8459842209852,162.03987857516688,13607900,160.23011997734625,161.32317970543096
2024-09-26,162.8949737548828,164.55544073199715,162.56685534550778,164.08812195243596,18234500,160.48391557520685,161.42458577313755
2024-09-27,164.3466339111328,166.01705353848837,162.89497506348715,162.97452030019005,13604300,160.85179351196172,161.6131050078469
2024-09-30,166.2357940673828,166.40482200082357,163.70034472236728,163.8395450894186,14070100,161.36455546962085,161.91134301168793
2024-10-01,167.4587860107422,169.4672616483176,164.95316398962757,167.89627725572925,18629500,161.94495837829908,162.26924256001402
2024-10-02,166.35511779785156,167.9161646998601,165.30116990891239,166.8025465016102,12745000,162.3649735611136,162.53284741406804
2024-10-03,166.2556915283203,166.95169339438607,164.42618140247245,164.87362526152447,11004300,162.73551812941898,162.77303090531012
2024-10-04,167.5979766845703,168.58233192878077,166.00711745240406,168.3735237842382,11422100,163.19860942038576,163.08431772977852
2024-10-07,163.4517822265625,168.9303297388488,163.1932715770751,168.1746727214758,14034700,163.2227211162121,163.10802511666782
2024-10-08,164.75430297851562,165.15202917511107,163.37223668521554,164.48583969227658,11723900,163.3685860554791,163.21423659162573
2024-10-09,162.12937927246094,165.31111315361008,160.20044883997255,163.91413300288912,19666400,163.25056636185832,163.14424579684092
2024-10-10,162.24867248535156,163.37322940274683,160.71746843138493,161.18478720542785,12900500,163.1551478974291,163.08646687351904
2024-10-11,163.58106994628906,164.32678961121525,161.57259406734363,162.39785898379995,10946000,163.19571190208242,163.11837674918164
2024-10-14,165.40060424804688,166.66334511094166,163.83955735552047,163.96882026735352,9981800,163.40570164931714,163.26561723297942
2024-10-15,165.9474639892578,168.1249676715351,165.10232420342928,166.18609972557047,14829300,163.64777425312099,163.43863960435223
2024-10-16,165.7883758544922,166.32528725506162,164.27307166520532,165.08242133811999,9968500,163.8516410722992,163.59023549145803
2024-10-17,163.57110595703125,166.97158557252453,163.4319055694393,166.42473666022318,15113400,163.82492344227367,163.58900132794665
2024-10-18,164.10801696777344,165.42047547286617,163.8097261165287,163.92903638834542,13091300,163.85188473041651,163.62248620793548
2024-10-21,164.85374450683594,165.2713456501546,163.36726649706551,163.6407061121802,11384000,163.94729994721837,163.70192222721937
2024-10-22,165.86793518066406,166.5142194436803,163.73019651894805,163.76002408975162,11958600,164.1302175884989,163.84166499840939
2024-10-23,163.541259765625,166.64346331999678,162.69909372365552,165.48012750479322,12754300,164.0741263672728,163.82228401564913
2024-10-24,163.59097290039062,164.10800934040395,161.84102325103302,163.65062803352635,12764400,164.02811175137927,163.80736071789053
2024-10-25,166.03695678710938,166.44460529639755,164.2869917844917,164.42123101967655,14566400,164.21943032621073,163.95120562558208
2024-10-28,167.3792266845703,169.6323003379864,164.84377730752618,169.61638522225002,20858300,164.52036331272117,164.17236827454906
2024-10-29,170.16323852539062,170.8791304261387,167.69739707375916,168.41825012085454,28916100,165.05777999964207,164.55887603266788
2024-10-30,175.1347198486328,182.74105312072933,174.74196997446353,181.3689394779745,49698300,166.01748855668882,165.2411885369237
2024-10-31,171.7044219970703,177.4017153581993,171.57515908118327,173.72283511957977,32801900,166.5591012652966,165.65817134080413
2024-11-01,171.66464233398438,172.82797823724772,169.33800087086522,170.56097674172983,21752900,167.0453432718383,166.04568559842866
2024-11-04,169.7058563232422,170.9387846282174,168.51768453705955,170.2626729321254,16194000,167.2987254672101,166.28182564519082
2024-11-05,170.4317169189453,171.1147924903057,169.3976440052616,169.85502532702608,12518300,167.5971056054706,166.5495605660782
2024-11-06,177.31222534179688,177.6204536623285,174.04099374585778,174.34923723809248,27061500,168.52235510416833,167.24392603547943
2024-11-07,181.23968505859375,181.53797592419244,177.86903317224707,178.08777879557252,16730400,169.73352938554217,168.14687823051906
2024-11-08,178.83351135253906,181.30930599347386,178.5451731036132,180.96129742973477,15021500,170.60019433477999,168.83633843193974
2024-11-11,180.9314727783203,181.04582191892692,178.96277716544327,179.0423224147733,12503400,171.58412561511716,169.61666968009334
2024-11-12,182.2737579345703,182.97472098653552,179.95705395915726,180.3448275327077,14065800,172.60218583601747,170.43325601909186
2024-11-13,179.45989990234375,181.57277194891768,179.0920012762999,181.11041429999662,13969700,173.2553014613819,171.015620140592
2024-11-14,176.3378448486328,179.41518246509798,175.02537099057562,178.72414164474856,17925800,173.54887702207245,171.35898947659467
2024-11-15,172.89756774902344,174.876215806893,171.75909828864272,174.63758008223877,21708900,173.48684756749634,171.45825259094494
2024-11-18,175.79095458984375,175.90032739507785,173.42453307934403,173.9564833216963,18662800,173.70628633152944,171.7377817521642
2024-11-19,178.5550994873047,179.14172858706556,174.11657202073613,174.23489613879943,15392900,174.16807806065088,172.17760870281845
2024-11-20,176.3179473876953,178.08778739151617,174.32936174999057,177.80938661597386,15729800,174.37282752036938,172.44472732764922
2024-11-21,168.2741241455078,174.57793705153708,164.3665454311983,174.45365044768775,38839400,173.7919986275254,172.17565615460785
2024-11-22,165.6193389892578,167.30465719256492,164.76424667759363,166.20596802924658,24497000,173.01365009054751,171.75266795039173
2024-11-25,168.46302795410156,169.4871635333507,166.4446147103621,167.03125901421268,21395700,172.5802575061241,171.5404331119214
2024-11-26,169.64622497558594,170.51623113606954,168.46301416985565,168.52268447937684,14937500,172.30082583654905,171.41822613538363
2024-11-27,169.84507751464844,170.16324327291247,168.70163186574825,169.70586197901204,12433400,172.0669450439871,171.31673267598137
2024-11-29,169.5169677734375,169.8947886824315,167.78689301476126,169.08941402343308,9250700,171.8240900658395,171.20061881130113
2024-12-02,171.99276733398438,172.60923919763246,169.29824229454286,169.3479599697619,16593400,171.8401545675676,171.2517251676033
2024-12-03,172.03253173828125,173.325115316705,171.52543273802027,172.13195190788124,15721500,171.85847620287365,171.30209978506642
2024-12-04,175.08499145507812,175.42304731942212,171.7640576005651,171.79388516673063,18239800,172.16576336975027,171.54615731216396
2024-12-05,173.31517028808594,176.69577480865672,173.01687942278502,176.30800123527666,16145500,172.27523069530602,171.66028718157827
2024-12-06,175.48272705078125,175.82973423795733,172.5595040359012,172.8876224530513,13319500,172.5807065386846,171.90689620539783
2024-12-09,176.2890167236328,177.22469944777424,174.59678933759568,174.91034929664272,19887800,172.9338789372511,172.18961365818717
2024-12-10,185.6758270263672,187.16895811714198,181.83350241188347,183.68996753608948,34317400,174.14739780288122,173.05969194000525
2024-12-11,195.80923461914062,195.9884030746277,185.40707498220937,185.84506256973273,41664500,176.2104298806202,174.52740437091722
2024-12-12,192.74334716796875,195.80426329351545,192.39494378925866,195.40111905784875,25197800,177.78499343179627,175.70262648685605
2024-12-13,190.5036163330078,193.45005306683728,190.3841555218587,191.8275276721291,18883200,178.99629085095927,176.65752905757552
2024-12-16,197.25259399414062,199.721233383074,193.22113662191728,193.47497379231675,32248600,180.7349863884051,177.9862429244507
2024-12-17,196.21734619140625,201.95097980668515,195.7893225316381,197.6208931858894,24129500,182.2094968458338,179.16244313522202
2024-12-18,189.27926635742188,197.78016882365546,188.4132550884158,195.92868545656498,27638400,182.88280822788983,179.81514140762204
2024-12-19,188.83131408691406,193.70888489721114,188.65214564178714,192.39492221061928,26981200,183.44933259541597,180.3968299675764
2024-12-20,192.07640075683594,193.24600802442544,185.51656626059741,186.1536349534511,45319700,184.27095813459883,181.15035066365766
2024-12-23,195.09251403808594,195.5902244023139,190.7524790544615,193.14148272718975,15235900,185.3015825063595,182.0498450749111
2024-12-24,196.66529846191406,196.76483143044473,194.3041510448483,195.27170020223775,6809800,186.38384116879325,182.99277755149194
2024-12-26,196.1974334716797,197.25257702339078,194.97305502831827,195.83908139855941,7907900,187.3184690071634,183.84469083666536
